X_COORD,Y_COORD,GEO2,DIST_FROM_WEST_KM
89.88089,22.89443,359176949,93.67761938
88.95229,22.89717,874307127,1.038579509
89.21911,22.89785,413828833,26.31754029
89.0597,22.90064,874379246,11.25452163
89.01436,22.89776,874371450,6.940866961
89.35533,22.90071,473020315,40.08410496
89.06717,22.89499,874379773,11.59894053
89.69264,22.89191,479467353,74.37569159
89.15332,22.89114,413885707,19.60319197
89.24561,22.89716,413828980,28.94975474
89.56824,22.89282,474085450,61.65759834
89.67457,22.89581,479467256,72.56013312
89.52927,22.8931,474057379,57.67867948
88.95799,22.89509,874394943,1.539273984
89.12886,22.88814,413885105,17.10524394
89.90729,22.89039,359176814,96.35799449
89.65719,22.8849,479427288,70.69047093
89.25466,22.88809,413847546,29.66489804
89.08542,22.8889,874355680,12.96157774
89.32402,22.8936,413876483,36.78566545
88.93591,22.88283,874307357,1.032540938
89.19305,22.88609,413838959,23.4181426
89.1781,22.89083,413885245,22.04614335
89.86198,22.8917,359166361,91.72146474
89.26591,22.88152,413847112,30.68707439
89.33479,22.89298,413876364,37.86702176
88.91708,22.88452,874307960,0.594542683
89.30654,22.89196,413876406,34.98564831
89.23,22.89146,413828063,27.25095679
89.31522,22.89254,413876462,35.87529786
89.28754,22.88821,413857392,32.99424696
89.22066,22.88825,413838658,26.24032567
89.04095,22.88432,874331348,8.682672374
88.9438,22.88795,874307221,0.430963689
89.01615,22.886,874331136,6.528582219
89.43195,22.87593,473061871,47.55738968
88.9551,22.881,874394076,0.843039907
89.98119,22.88472,355147587,103.9063445
89.68432,22.88921,479467577,73.50207245
88.98552,22.88894,874371527,3.844154208
89.04873,22.88932,874379731,9.653091361
89.93807,22.87799,359128280,99.45147155
89.3746,22.88968,473020290,41.86167739
89.10141,22.88293,874355671,14.24893381
89.9617,22.88021,359128065,101.8857906
89.36861,22.87716,473074866,41.0934799
89.8933,22.88641,359176407,94.90038777
89.31399,22.88502,413876903,35.62718167
89.39964,22.88629,473061827,44.36755755
89.04692,22.87662,874331952,8.804553274
89.27413,22.88436,413847644,31.56830911
89.33322,22.88691,413876504,37.61107907
88.96788,22.88225,874394824,1.899827847
89.17332,22.87796,413885161,21.25246137
89.40878,22.88314,473061330,45.26253758
88.98972,22.86834,874394918,3.241345822
89.07059,22.88084,874355782,11.20991751
89.03061,22.87809,874331476,7.417173576
89.20865,22.87767,413838056,24.81491957
89.54953,22.87712,474085971,59.60502406
89.92018,22.88338,359176339,97.64114602
89.16412,22.88129,413885294,20.40420511
89.23472,22.882,413828896,27.53315278
89.33417,22.88054,413876469,37.61877185
89.70219,22.88191,479467898,75.28041173
89.29904,22.88193,413876588,34.06054652
89.31447,22.87836,413876973,35.58231089
89.01622,22.87498,874331204,5.993515009
89.15358,22.87478,413885882,19.19655465
89.29205,22.87347,413847273,33.23449621
89.69134,22.8786,477527292,74.14748512
89.53441,22.87565,474057331,58.04544018
89.13586,22.87692,413885854,17.46864809
89.18871,22.87782,413838427,22.80168084
89.00198,22.87378,874331408,4.634806303
89.70985,22.87945,479467096,76.05021489
89.1262,22.87712,413885889,16.50982576
89.15512,22.8773,413885966,19.40754095
89.407,22.87413,473061024,44.98844561
89.21582,22.87136,413838602,25.43880496
89.04057,22.87616,874331994,8.200385587
89.22394,22.87585,413838595,26.33373852
89.2825,22.87597,413847357,32.29256399
89.11233,22.8734,874347306,15.02903118
88.97726,22.86906,874394586,2.134173323
89.4859,22.87296,473067192,53.05657215
89.56707,22.87551,474085165,61.3906796
89.23348,22.87174,413838714,27.24159373
89.30484,22.86565,413819224,34.45973925
89.01977,22.86518,874331289,5.745418301
89.06968,22.87071,874355697,10.73209218
89.34282,22.87416,413876280,38.42641355
89.18415,22.86962,413838938,22.19264774
89.12227,22.87025,874347493,15.94738283
89.19766,22.87263,413838301,23.61325045
89.44841,22.86883,473061394,49.18638882
89.27388,22.87306,413847756,31.37599486
89.32784,22.87145,413819910,36.8672972
89.25395,22.85976,413847679,29.20109315
89.39477,22.86631,473074669,43.67310388
89.98262,22.86779,355147099,103.9878882
89.08253,22.86377,874339646,11.80845628
90.0088,22.87067,355147577,106.6841604
89.13918,22.86614,413866378,17.57168372
89.68122,22.85898,477527819,73.02177132
89.09163,22.86478,874339034,12.74508605
88.95886,22.86653,874394153,0.373933545
89.10371,22.86381,874347085,13.94048725
89.41484,22.8563,473061876,45.67494056
89.31887,22.86188,413819182,35.86593657
89.46655,22.86494,473067374,51.02113411
89.95115,22.86247,359128510,100.7430188
89.29062,22.86268,413847091,32.97902207
89.15225,22.86762,413866798,18.92224377
88.96498,22.86293,874394790,0.709557889
89.56329,22.86147,474085236,60.92712583
89.22438,22.86061,413838945,26.18233081
89.30877,22.86321,413819287,34.84156883
89.3419,22.85541,413819175,38.18847062
89.17306,22.86039,413866098,20.93542974
89.26682,22.85986,413847119,30.51971947
89.19995,22.86269,413838791,23.70719932
89.39179,22.8486,473074729,43.28513769
89.14962,22.85975,413866077,18.53610358
89.00189,22.86064,874363705,3.894704278
89.42676,22.85774,473061965,46.90393716
89.63157,22.85365,479413160,67.91146555
89.11743,22.86579,874347833,15.36515802
89.28143,22.85813,413847259,32.00394359
89.65492,22.8585,479413545,70.32074041
89.16144,22.8594,413866525,19.73772737
89.48839,22.83574,473033197,53.19933707
89.11277,22.85853,874347510,14.76612526
90.01217,22.8402,797621148,106.9895557
89.0721,22.85448,874339399,10.56957236
89.13518,22.85491,413866700,17.00587175
89.21768,22.86088,413838028,25.49970973
89.24361,22.86029,413809189,28.14701763
89.49486,22.8532,473033659,53.87638982
89.18007,22.85977,413838784,21.64429753
89.35094,22.85541,413819007,39.11574432
89.3667,22.85783,473074886,40.74387848
90.02845,22.85183,797621727,108.6646188
89.44703,22.84756,473067842,48.95407844
89.31419,22.8496,413819868,35.32279357
88.99076,22.83673,874363042,2.13767535
89.6997,22.83829,477527146,74.89656206
89.37202,22.84751,473074591,41.25342268
88.97124,22.84835,874394110,0.519929194
89.18473,22.84996,413809231,22.04238701
89.2357,22.85371,413809490,27.28915377
89.95381,22.84711,797631460,100.994988
89.66999,22.85329,477527443,71.85524588
89.30115,22.85081,473006861,33.98869292
89.2032,22.85336,413809476,23.95584662
89.11575,22.84833,874347382,14.96135042
89.09571,22.84704,874339909,12.89932865
89.24524,22.85007,413809609,28.24942007
89.27415,22.8524,413847532,31.22521616
89.25622,22.85048,413847763,29.37755556
89.98166,22.84118,797631252,103.8551961
89.08503,22.84738,874339867,11.80727752
89.36461,22.83923,473074216,40.48655103
89.21556,22.84751,413809987,25.19458354
89.14289,22.84588,413866371,17.73229388
89.57691,22.84323,477513352,62.2859156
89.2422,22.84192,413809126,27.91838153
89.19416,22.84268,413809413,22.9870827
89.16822,22.84522,413866448,20.32938975
89.1622,22.84724,413866329,19.71875094
89.15246,22.84606,413866308,18.71486117
89.22616,22.84428,413809777,26.27436124
89.33597,22.83784,413819350,37.54697689
89.28277,22.84151,473006758,32.08345569
89.26533,22.84459,413847819,30.2958526
89.64149,22.82791,477527030,68.93470547
89.5624,22.8455,477513918,60.797231
89.20357,22.8387,413809994,23.9528855
89.96838,22.8341,797631772,102.4960944
89.58681,22.84095,477567505,63.30231354
89.46413,22.83758,473033561,50.7063088
89.66788,22.83818,477527321,71.62878826
89.59673,22.84392,477567076,64.32145487
89.13424,22.84101,413866721,16.83435755
89.36114,22.83324,473040847,40.13878958
89.25987,22.83609,473054068,29.73651987
89.61945,22.84211,479413962,66.6541247
89.18826,22.83505,413809455,22.38848198
89.39995,22.84276,473074433,44.11516982
89.11174,22.83776,874347663,14.52747902
89.60469,22.83363,477567887,65.14447808
89.15525,22.83386,413866266,19.00528402
89.00834,22.83317,874363331,3.983818221
89.21564,22.83429,413809168,25.20085682
89.34742,22.8358,413819518,38.7251905
89.56295,22.83869,477513535,60.85290959
89.30613,22.83173,473006310,34.49625715
89.22595,22.83017,413809399,26.27480781
89.48827,22.84084,473033355,53.18352844
89.12445,22.83164,874347229,15.85853678
89.0976,22.8303,874339068,13.11920483
89.18014,22.83546,413809035,21.55389269
89.59386,22.83567,477567658,64.02964564
89.27364,22.82516,473054162,31.19280408
89.61705,22.83574,479413128,66.41096042
89.41078,22.82892,473027571,45.24659122
89.28235,22.83699,473006054,32.04287161
88.97188,22.82214,874363459,0.636768398
89.17064,22.83632,413866952,20.57650804
90.02944,22.83082,797621653,108.7725034
89.24799,22.8353,413809420,28.51863745
89.42034,22.83605,473061664,46.21166839
89.29743,22.82674,473006699,33.62392783
89.08207,22.83018,874339144,11.53225277
89.13989,22.83082,413866203,17.446346
89.31735,22.82698,473006251,35.66623717
89.07173,22.82758,874339442,10.51003872
89.33191,22.81093,473006635,37.27399233
89.17116,22.82895,413866931,20.66352498
89.95586,22.83382,797631980,101.2103852
89.39822,22.82985,473027566,43.95441156
89.23407,22.83128,413809147,27.10290205
89.56386,22.82987,477513290,60.95920796
89.20076,22.82201,413809665,23.75075137
89.19348,22.82875,413809861,22.95266935
89.42833,22.82511,473027891,47.06180191
89.24668,22.82435,879094895,28.43434861
89.57105,22.83325,477513551,61.69072751
89.15032,22.8169,879007875,18.6650634
89.61988,22.82588,477567336,66.72139473
89.6543,22.82622,477527306,70.25440177
89.44624,22.82375,473027733,48.90543
89.57464,22.82348,477513015,62.08480398
89.37606,22.82659,473040916,41.69183583
89.1152,22.82855,874347391,14.93608991
89.5813,22.82304,477567688,62.77002107
89.60883,22.82597,477567474,65.58665082
89.67555,22.82209,477527122,72.44874531
89.51531,22.8165,473033226,56.02730939
89.95606,22.82347,797631608,101.2495258
89.58939,22.81939,477567719,63.61469142
89.17889,22.82323,413809742,21.50186541
89.18983,22.82328,413809826,22.62062098
89.62609,22.82494,477567107,67.3617701
89.20866,22.82198,413809560,24.55936449
89.39239,22.82573,473040113,43.37114367
89.2624,22.82452,473054384,30.04444695
89.11101,22.81731,879007663,14.66942262
89.62897,22.82124,477567183,67.66992408
89.21595,22.82135,413809336,25.31111464
89.04888,22.81399,878267775,8.512935642
89.37151,22.82083,473040029,41.25403126
89.56286,22.82405,477513673,60.87357857
89.01473,22.81237,878233447,5.099202246
89.04063,22.81856,878267994,7.569173649
89.16665,22.81208,413866847,20.40148425
89.13334,22.81365,879007258,16.99783102
89.08153,22.81978,874339272,11.64299422
89.59764,22.81654,477567198,64.47415044
89.38406,22.81809,473040975,42.55775149
89.02965,22.81332,878267356,6.610163275
89.36071,22.81652,473040581,40.17534284
89.18704,22.81641,413809049,22.4118217
89.56819,22.82123,477513826,61.43124399
89.22728,22.81304,879094596,26.55937102
89.0873,22.81138,878227876,12.41963903
89.25943,22.81488,473054527,29.82187141
89.60032,22.8168,477567382,64.74793989
89.40092,22.81777,473040985,44.28833871
89.65057,22.81452,477527811,69.91530812
89.24159,22.81026,879094922,28.05467077
89.29354,22.80979,473054674,33.36310875
89.19629,22.8144,413809651,23.38150066
89.41383,22.81587,473027428,45.62422309
89.42446,22.81183,473027034,46.7424513
89.35377,22.80871,473040167,39.5319206
89.21706,22.80792,879094981,25.59005675
89.53078,22.81076,473033241,57.64787248
89.06578,22.80263,878227803,10.43938545
89.10807,22.80701,879007948,14.60658667
89.16764,22.80283,879079504,20.68157829
88.98586,22.80448,878233456,2.421529106
89.05693,22.80646,878267374,9.479760126
89.44094,22.8053,473033413,48.48436147
89.00641,22.80368,878233638,4.464000119
89.67349,22.80611,477527397,72.31229345
89.20832,22.80697,879094019,24.71700693
89.32135,22.7866,473006201,36.53552024
89.45838,22.80786,473033788,50.24852335
89.39858,22.80972,473040724,44.10866502
89.04069,22.80643,878267401,7.82892965
89.65877,22.80893,477527214,70.78585881
89.19131,22.80984,879055888,22.94247597
89.92729,22.80298,797642207,98.37131849
89.37044,22.79445,473094926,41.40242079
89.27749,22.79988,473054044,31.85956503
89.58609,22.80535,477554841,63.3548062
89.41002,22.80619,473027403,45.31139056
89.38845,22.80325,473040408,43.13434435
89.37353,22.80671,473040793,41.57297896
89.64397,22.8051,477554367,69.2910259
89.26362,22.80323,879087006,30.39761459
89.66501,22.80626,477527734,71.44159707
89.18887,22.80038,879055205,22.87273068
89.61121,22.80866,477554903,65.90902982
89.62143,22.79963,477554750,67.01883339
89.48247,22.8074,473033901,52.72007033
89.42212,22.80611,473027039,46.55054766
89.36765,22.80293,473040783,41.0120092
89.60524,22.80416,477554596,65.32626112
89.37986,22.80123,473040118,42.27873373
89.65347,22.80234,477581949,70.28347047
89.25257,22.80264,879094769,29.28275844
88.96954,22.79784,878233976,0.838579233
89.23065,22.80213,879094397,27.06502995
89.19921,22.80188,879055331,23.88567477
89.49703,22.79228,471271815,54.35232366
89.47268,22.79833,473033640,51.79875329
89.13532,22.80266,879007291,17.44280626
89.59719,22.80361,477554933,64.5049468
89.53319,22.79401,471271635,58.03207426
89.48133,22.79825,473033059,52.68441387
89.60118,22.80288,477554765,64.91919565
89.15446,22.79912,413866581,19.44661539
